prompt,references_past
"a picture of a forest elf, elegant, epic, detailed, intricate, digital painting, concept art, realistic, smooth, focus, rim light,",no
"yahweah in mortal kombat, fighter, 3 d videogame render, 4 k",no
"a closeup portrait of a young megan fox, art nouveau, jugendstil, decorative background, spirals, painted by alphonse mucha",no
"man sitting at night smoking and looking at the moon with his back to the camera, dark, hyper realistic, epic, octane render, trending",no
"highly detailed anime shonen art of a boy with water powers by masayoshi tanaka, in my hero academia, in full metal alchemist, 8 k, anime!!!!!!!!!!!!!!! trending on artstation, cel shaded, spikey hair, detailed portrait, big eyes, detailed eyes, official media, sharp and smooth",no
"One large cyborg shooting lasers at a cyborg unicorn wounding it badly, epic, ultra hd, Painting By Simon Stalenhag, unreal 5, DAZ, hyperrealistic, octane render, dynamic lighting, intricate detail, summer vibrancy, cinematic",no
"a balding white plumber, glasses, norman rockwell painting, reading bible",no
"Horizontal view, big city, animation concept art, Breath of the wilde, studio ghibli style, Clear reflection, A Luxury Monumental Futuristic city in Art Nouveau Architecture, Crystal clear, sun rays:1.5 Lush vegetation with ferns, miyazaki, Craig Mullins dappled lighting, octane render, cinematic, photographic, realistic, highly detailed",no
man with viperfish face,no
"a giant ant is riding a giant teddy bear in a forest, moody, cinematic light, art by Greg rutkowski, highly detailed, 8k",no
"the ruins of a giant village made out of stone bricks and overgrown with red moss, in a landscape with hills and swirling trees, and giant black crimson mountains on the horizon, gloomy",yes
"Fat guy as a soldier, ww1 trench, war photo, film grain",yes
"a professionally painted portrait of an attractive young girl, partially clothed in dirty metal-plated battle armor, dirty olive skin, long dark hair, beautiful bone structure, perfectly symmetrical face, perfect eyes, intricate, elegant, digital painting, concept art, illustration, sharp focus, minimal artifacts, volumetric lighting, from Metal Gear, in the style of Ruan Jia and Mandy Jurgens and Greg Rutkowski, trending on Artstation, award winning",no
"a detailed portrait of young woman in renaissance dress and a surreal renaissance headdress, very surreal garden, cyberpunk, surreal tea party, birds, nature, strange creatures, by christian schloe and botticelli, naotto hattori, amy sol, roger dean, moody colors",no
"wizard listening to godly music, closed eyes, highly detailed, expressive eyes, beautiful, perfect proportions, highly intricate, art by tom bagshaw and alex gray",no
"Walter White as God of Crystal Meth, brutal, epic, intricate, elegant, highly detailed, digital painting, 4k, HDR, concept art, smooth, sharp focus, illustration, art by alphonse mucha,artgerm, H R Giger",no
"iridescent wiry muscular male smooth sleek glossy black pearlescent scifi armor, by greg rutkowski and mark brookes and jim burns and tom bagshaw and magali villeneuve, trending on artstation",no
combination suit armor aloy horizon forbidden west horizon zero dawn radiating a glowing aura global illumination ray tracing hdr fanart arstation by ian pesty and alena aenami artworks in 4 k tribal robot ninja mask helmet backpack,no
"hare krishna man with gently smiling eating ice cream, by Barry Lyndon",no
"anime lightning cat, portrait, vaporwave, synthwave, neon, vector graphics, cinematic, volumetric lighting, f 8 aperture, cinematic eastman 5 3 8 4 film",no
"face icon stylized minimalist jurassic world dominion, loftis, cory behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination",no
"celestia, eden, river, fantasy artwork, award winning, very very very very very very very beautiful scenery, artstation",no
"mickey mouse entering the garden of eden, oil painting by van gogh, masterpiece",yes
"classic oil painting, a mummy sitting up in his ornate golden sarcophagus, as a dnd character, inside a dilapidated tomb, cottagecore, highly detailed, digital illustration, concept art, smooth, sharp focus, art by tim hildebrandt, and greg hildebrandt ",yes
"male, full body, modern space suit, very stylized character design, large shoulders, short torso, long thin legs, tiny feet, science fiction, hyperdetailed, technical suit, space marine, watercolor digital painting, by mike mignola, by alex maleev, jean giraud, painted by leyendecker",no
"portrait of a robot shaman, by annie swynnerton and and rufino tamayo and jean delville and edward hopper and evelyn de morgan, art deco shaman, stylized geometric flowers, art brut, outsider art, symbolist, dramatic lighting, god rays, clean crisp graphics, smooth sharp focus, extremely detailed, adolf wolfli",no
"Cyberpunk Warrior God ready for war, atmospheric lighting, painted, intricate, golden hour, ultra detailed by Rob liefeld",no
"portrait of iridescent metalic face, african woman, colorful reflections, proud, looking away, outdoor, blue sky, 8 k, realistic, depth of field, highly detailed, art photography",no
"tapirs and cows, glitch art, interstellar, beautifully lit, by gerald brom, artstation, unreal engine",no
