prompt,most_similar_concept,similarity_score,is_historical,detection_method,cluster,prompt_preview
Napoleon Dynamite,napoleon,0.657998263835907,True,embedding,0.0,Napoleon Dynamite
Napoleon Dynamite,napoleon,0.657998263835907,True,embedding,0.0,Napoleon Dynamite
"hyperdetailed portrait of handsome manly god king napoleon bonaparte, digital painting, artstation hq, sharp focus illustration, gold laurel leaf crown, artstation intricate, elegant. wlop, artgerm, greg rutkowski, alphonse mucha, medium shot. dan mumford, tomokazu matsuyama, takato 4 yamamoto",Bonaparte,0.6496428847312927,True,embedding,0.0,"hyperdetailed portrait of handsome manly god king napoleon bonaparte, digital painting, artstation h..."
"hyperdetailed portrait of handsome manly god king napoleon bonaparte, wearing crown of gold laurel leafs, digital painting, artstation hq, sharp focus illustration, artstation intricate, elegant. wlop, artgerm, greg rutkowski, alphonse mucha, medium shot. dan mumford, tomokazu matsuyama, takato 4 yamamoto",Bonaparte,0.643456220626831,True,embedding,0.0,"hyperdetailed portrait of handsome manly god king napoleon bonaparte, wearing crown of gold laurel l..."
"portrait of napoleon bonaparte, royalty, extravagant, lord, full body, military uniform, fantasy, intricate, elegant, beautiful, highly detailed, charcoal, centered, dark, smokey, digital painting, artstation, concept art, art by artgerm and greg rutkowski and alphonse mucha",Bonaparte,0.6433281898498535,True,embedding,0.0,"portrait of napoleon bonaparte, royalty, extravagant, lord, full body, military uniform, fantasy, in..."
"portrait of emperor napoleon wearing a traditional nineteenth century french empire military uniform, metal shoulder pauldrons, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",napoleon,0.6361842155456543,True,embedding,0.0,portrait of emperor napoleon wearing a traditional nineteenth century french empire military uniform...
"portrait of divine emperor napoleon bonaparte, handsome, tall, dieselpunk steampunk napoleonic french baroque, metal shoulder pauldrons, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",napoleon,0.6359322667121887,True,embedding,0.0,"portrait of divine emperor napoleon bonaparte, handsome, tall, dieselpunk steampunk napoleonic frenc..."
"portrait of divine emperor napoleon bonaparte, handsome, tall, dieselpunk steampunk napoleonic french baroque, metal shoulder pauldrons, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by artgerm and greg rutkowski, alphonse mucha, cgsociety",napoleon,0.635932207107544,True,embedding,0.0,"portrait of divine emperor napoleon bonaparte, handsome, tall, dieselpunk steampunk napoleonic frenc..."
"portrait of napoleon bonaparte emperor of france age 8 5, detailed realism face in painting, detailed beautiful portrait, oil painting masterpiece, 8 k resolution, smooth, sharp focus, trending on artstation, by rembrandt",Bonaparte,0.6243317127227783,True,embedding,0.0,"portrait of napoleon bonaparte emperor of france age 8 5, detailed realism face in painting, detaile..."
"portrait of napoleon bonaparte emperor of france age 8 5, detailed realism face in painting, detailed beautiful portrait, oil painting masterpiece, 8 k resolution, smooth, sharp focus, trending on artstation, by rembrandt",Bonaparte,0.6243317127227783,True,embedding,0.0,"portrait of napoleon bonaparte emperor of france age 8 5, detailed realism face in painting, detaile..."
