prompt,references_past
"beautiful natural coy cottagecore peasant maiden, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and loish and WLOP",no
"a beautiful landscape painting, an ancient city of old bones, by sam guay, moody lighting, hyperrealism",no
A dramatic photo of a an electrician receiving CPR after being electrocuted (1967). Black and White,no
"modern UI/UX icons for an artistic website, black and orange colour palette, layout design, template sheet",no
a movie poster for Casablanca featuring a rabbit,no
"portrait of a handsome CEO having a cup of coffee. cyberpunk style, digital art artstation cgsociety",no
"ghostly powerpuff girls, ice carving by george tooker. a street art of a man caught in a storm, buffeted by wind & rain. he clings to a tree for support, but the tree is bent by the force of the storm. he is soaking wet. his face is contorted with fear & effort.",no
"evil capybara, campy horror illustration, highly detailed and disturbing",no
"minimalist boho style art of colorful new york bridge, illustration, vector art",no
"teemo from league of legends in a room at 2 7 degrees, and in the background the views of barcelona",no
"glass hallways of entropy, ivory and ebony, swirled architecture, the void people, camera burn, octane 8 k",no
"a hyper realistic witchy cottage with solar panels on a tall hill, distant explosions in the mountains, atmospheric lighting, lush foliage, painting by chiara bautista and tom bagshaw, mucha, beksinski and norman rockwell and greg rutkowski weta studio, and lucasfilm",no
"an epic painting minion old granpa with white head, pencil drawing, perfect composition, golden ratio, beautiful detailed, photorealistic, digital painting, concept art, smooth, sharp focus, illustration, artstation trending, octane render, unreal engine",no
skate boot on a cast,no
"concept art of a north face brand dietary supplement in a transparent modern rounded bottle filled with white liquid, black top, by huang guangjian and gil elvgren and sachin teng, white tones, white background, digital painting, artstation, concept art, smooth, sharp foccus ilustration hq",no
giant samurai robot fighting a kaiju over tokyo city modern flat design style illustration with line elements,no
fight between black person and lenin,no
"hyper realistic portrait photo of beautiful mexican demon, portrait shot, intricate detail, glittering sun rays",no
"landscape of an alien world, futuristic towers, giant robots on guard. rays of light shine through the mist. by bruce pennington, by peter elson. vibrant colors",no
"two young edwardian women getting married in a church, in the style of Anders Zorn",no
"outdoor medium close shot of a very very very very extremely handsome!!! good looking young man in 2 0 2 2 with the face of jose rizal!!! wearing stylish modern clothes photo taken in 2 0 2 2, 3 5 mm f 1. 4 digital color photography",no
"pinup photo of hermione granger by emma watson in the crowded square of hogwarts, hermione by a - 1 pictures, by peter mohrbacher, gil elvgren, enoch bolles, glossy skin, pearlescent, anime, very coherent, sao style anime, flat, ecchi anime style, studio shaft",no
"a cute anime polar bear in a blue and white porcelain vase, watercolor, white background, lovely",no
"real life photo of medieval warrior princess in armor, full body photoshoot, long brown hair, brown eyes, full round face, short smile, showing belly and chest, forest setting, cinematic lightning, medium shot, mid - shot, highly detailed, trending on artstation, unreal engine 4 k, 8 0 mm, 8 5 mm, cinematic wallpaper",no
"portrait of european female humanoid, elegant, cyber neon lights, highly detailed, digital photography, artstation, pinterest, glamor pose, concept art, smooth, sharp focus, art by artgerm and greg rutkowski",no
"how to drink water, wikihow,",no
"portrait ninja gaiden girl, armored white and red reflective vests ninja wardrobe, at snowy fuji mountain fallen night, ssci - fi and fantasy, intricate and beautiful and detailed, digital painting, artstation, concept art, smooth and sharp focus, illustration, art by tian zi and wlop and alphonse mucha",no
"symmetry!! egyptian princess of technology, solid cube of light, hard edges, product render retro - futuristic poster scifi, lasers and neon circuits, beautiful brown skin woman egyptian princess, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, dreamlike, art by artgerm",no
the subtle shades of consciouness,no
"haunted gothic hotel, 1 9 2 0 s boston overlooking a dark street, lovecraft, photorealistic, dark, atmospheric lighting, painted, intricate, ultra detailed by leesha hannigan, thierry doizon, kai carpenter, well composed, best on artstation, cgsociety, epic, stunning, gorgeous, intricate detail, wow, masterpiece",no
